CONVERGENCE ITERATIONS

||===============================================================================================================================================================================================||
|| LOAD TIME            || REL. FORCE RESIDUAL    || ABS. FORCE RESIDUAL    || REL. VARIABLE RESIDUAL || ABS. VARIABLE RESIDUAL || ABS. MAX DOF           || LINE SEARCH || RATIO                ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 1.0000000000000e-01  || 5.2245247384022e+05    || 5.2245247384022e+05    || 0.0000000000000e+00    || 0.0000000000000e+00    || 0.0000000000000e+00    || 1.0000000   || 1.0000000000000e-01  ||
|| 1.0000000000000e-01  || 2.6240063867587e+01    || 1.3709186281346e+07    || 1.0000000000000e+00    || 1.9120146442954e+01    || 3.0000000000000e-01    || 1.0000000   || 1.0000000000000e-01  ||
|| 1.0000000000000e-01  || 1.3980947629470e-01    || 7.3043806756473e+04    || 2.1785984784716e-02    || 4.1612285902362e-01    || 2.7003668959362e-01    || 1.0000000   || 1.0000000000000e-01  ||
|| 1.0000000000000e-01  || 3.9074105656102e-05    || 2.0414363163125e+01    || 4.7614577297078e-04    || 9.0931398444601e-03    || 3.7748753945812e-03    || 1.0000000   || 1.0000000000000e-01  ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| CRITERIA             || 1.0000000000000e-04    || 1.0000000000000e-09    || 1.0000000000000e-04    || 1.0000000000000e-09    ||                        ||             ||                      ||
|| IS SATISFIED         ||                 YES    ||                  NO    ||                  NO    ||                  NO    ||                        ||             ||                      ||
||----------------------++------------------------++------------------------++------------------------++------------------------++------------------------++-------------++----------------------||
|| 2.0000000000000e-01  || 1.0000000000000e+00    || 7.7352511799397e+07    || 5.0000000000000e-01    || 1.9097386474159e+01    || 3.5485071580523e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 3.7222996741878e-02    || 2.8792922946850e+06    || 3.6559388138492e-02    || 1.3962277853347e+00    || 4.2901236469335e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.9038558866509e-02    || 1.4726803493651e+06    || 2.5862876302074e-02    || 9.9257731771180e-01    || 4.4874140453531e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.8631963355958e-02    || 1.4412291653377e+06    || 2.4087302003824e-02    || 9.2323090848920e-01    || 4.5924035250177e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.9337648237882e-02    || 1.4958156634934e+06    || 2.4206476476338e-02    || 9.2802345103539e-01    || 4.7338688849874e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.8672634937108e-02    || 1.4443752142985e+06    || 2.4253322201623e-02    || 9.2919215046070e-01    || 4.6772472288851e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.9288130361766e-02    || 1.4919853313968e+06    || 2.4200784020987e-02    || 9.2749077380544e-01    || 4.7361872259902e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.8275615311010e-02    || 1.4136647489862e+06    || 2.4128862741215e-02    || 9.2417244463353e-01    || 4.6636631206932e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.8952950467017e-02    || 1.4660583246333e+06    || 2.4025127360841e-02    || 9.2052811313479e-01    || 4.6988004646824e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.7793040352917e-02    || 1.3763363638462e+06    || 2.3913738346397e-02    || 9.1575967315324e-01    || 4.6290170831623e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.8540257466902e-02    || 1.4341354844724e+06    || 2.3793662694224e-02    || 9.1148733254106e-01    || 4.6505689229462e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.7313696177899e-02    || 1.3392578878921e+06    || 2.3671958935982e-02    || 9.0637646265037e-01    || 4.5872430288458e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.8123429024179e-02    || 1.4018927574384e+06    || 2.3551736228879e-02    || 9.0208765165737e-01    || 4.6006389344290e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6871810495769e-02    || 1.3050769204512e+06    || 2.3433320581797e-02    || 8.9714644738048e-01    || 4.5447472804793e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.7733857345520e-02    || 1.3717584095682e+06    || 2.3320159484704e-02    || 8.9311440056974e-01    || 4.5531064526581e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6478320204161e-02    || 1.2746394580266e+06    || 2.3210899527138e-02    || 8.8855984220227e-01    || 4.5044679428507e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.7382965294253e-02    || 1.3446160280322e+06    || 2.3107620280074e-02    || 8.8489238512483e-01    || 4.5096417982322e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6133983956666e-02    || 1.2480041843793e+06    || 2.3009609891493e-02    || 8.8079824229668e-01    || 4.4676232084404e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.7072954516957e-02    || 1.3206359157235e+06    || 2.2916915465660e-02    || 8.7752323118012e-01    || 4.4707477949951e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5835408766981e-02    || 1.2249086434962e+06    || 2.2830441171510e-02    || 8.7389524356278e-01    || 4.4345839012333e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.6801970276910e-02    || 1.2996746040978e+06    || 2.2748035327014e-02    || 8.7100266198479e-01    || 4.4363774413306e-01    || 1.0000000   || 2.0000000000000e-01  ||
|| 2.0000000000000e-01  || 1.5577774347552e-02    || 1.2049799740274e+06    || 2.2672546120278e-02    || 8.6781548500908e-01    || 4.4053095277292e-01    || 1.0000000   || 2.0000000000000e-01  ||
